"seqnames","start","end","width","strand","num_vars"
"chr1",8781531,8782897,1367,"*",23
"chr1",8791923,8792162,240,"*",4
"chr1",8803917,8803970,54,"*",0
"chr1",8816138,8816247,110,"*",0
"chr1",8855928,8856267,340,"*",3
"chr1",8882161,8882214,54,"*",0
"chr1",8950572,8950890,319,"*",2
"chr1",8962996,8963621,626,"*",17
"chr1",8999186,8999249,64,"*",0
"chr1",9203179,9203260,82,"*",3
"chr1",9249319,9249410,92,"*",0
"chr1",9298133,9299878,1746,"*",20
"chr1",9458670,9458772,103,"*",1
"chr1",9545408,9547454,2047,"*",29
"chr1",9547948,9548151,204,"*",2
"chr1",9549907,9549944,38,"*",1
"chr1",9550561,9550647,87,"*",6
"chr1",9551717,9551757,41,"*",1
"chr1",9552923,9552976,54,"*",0
"chr1",9553318,9553472,155,"*",1
"chr1",9553623,9553819,197,"*",6
"chr1",9555538,9555615,78,"*",1
"chr1",9557000,9557105,106,"*",0
"chr1",9558133,9558285,153,"*",0
"chr1",9560109,9560207,99,"*",2
"chr1",9560832,9561778,947,"*",7
"chr1",9563505,9563893,389,"*",6
"chr1",9566781,9566938,158,"*",1
"chr1",9574548,9575649,1102,"*",5
"chr1",9576191,9577970,1780,"*",34
"chr1",9600413,9603675,3263,"*",50
"chr1",9606974,9607029,56,"*",0
"chr1",9613312,9613474,163,"*",1
"chr1",9619550,9619639,90,"*",3
"chr1",9619836,9619897,62,"*",4
"chr1",9620955,9621082,128,"*",3
"chr1",9622593,9622684,92,"*",1
"chr1",9624713,9627143,2431,"*",37
"chr1",9631061,9631175,115,"*",1
"chr1",9667415,9670012,2598,"*",15
"chr1",9671579,9671758,180,"*",0
"chr1",9672212,9672316,105,"*",3
"chr1",9672540,9672656,117,"*",0
"chr1",9673101,9673215,115,"*",0
"chr1",9673745,9673887,143,"*",1
"chr1",9675967,9676335,369,"*",3
"chr1",9678272,9678610,339,"*",6
"chr1",9681785,9681889,105,"*",0
"chr1",9683097,9683452,356,"*",1
"chr1",9685636,9685810,175,"*",0
"chr1",9687561,9687781,221,"*",0
"chr1",9690081,9690173,93,"*",0
"chr1",9692718,9692789,72,"*",0
"chr1",9693287,9693392,106,"*",0
"chr1",9699935,9700209,275,"*",1
"chr1",9718622,9725350,6729,"*",71
"chr1",9736966,9737052,87,"*",0
"chr1",9745450,9748604,3155,"*",2
"chr1",9752449,9752564,116,"*",1
"chr1",9780333,9780431,99,"*",5
"chr1",9780730,9780813,84,"*",1
"chr1",9781533,9781608,76,"*",2
"chr1",9789656,9789780,125,"*",1
"chr1",9791125,9791922,798,"*",11
"chr1",9798130,9798246,117,"*",0
"chr1",9802194,9802553,360,"*",4
"chr1",9827013,9827119,107,"*",3
"chr1",9834498,9834602,105,"*",5
"chr1",9848281,9848385,105,"*",0
"chr1",9848397,9848548,152,"*",0
"chr1",9865131,9865348,218,"*",1
"chr1",9868383,9868466,84,"*",0
"chr1",9871630,9871702,73,"*",0
"chr1",9872258,9872333,76,"*",0
"chr1",9877166,9877253,88,"*",1
"chr1",9879026,9879075,50,"*",0
"chr1",9880332,9880389,58,"*",1
"chr1",9881578,9881661,84,"*",0
"chr1",9881760,9881891,132,"*",0
"chr1",9884407,9884519,113,"*",0
"chr1",9884625,9884661,37,"*",1
"chr1",9885667,9885753,87,"*",0
"chr1",9886047,9886142,96,"*",0
"chr1",9888870,9889025,156,"*",1
"chr1",9891361,9891450,90,"*",0
"chr1",9898720,9902556,3837,"*",63
"chr1",9908638,9908708,71,"*",1
"chr1",9911314,9911812,499,"*",9
"chr1",9911910,9912040,131,"*",3
"chr1",9912114,9912173,60,"*",0
"chr1",9915474,9915669,196,"*",2
"chr1",9916316,9916438,123,"*",0
"chr1",9916550,9916654,105,"*",1
"chr1",9919020,9919145,126,"*",1
"chr1",9920435,9922525,2091,"*",26
"chr1",9924057,9924262,206,"*",0
"chr1",9930781,9930947,167,"*",1
"chr1",9932002,9932181,180,"*",5
"chr1",9933923,9934065,143,"*",1
"chr1",9936996,9937105,110,"*",2
"chr1",9940378,9942391,2014,"*",41
"chr1",9942463,9942549,87,"*",1
"chr1",9942610,9943223,614,"*",8
"chr1",9944020,9944118,99,"*",4
"chr1",9960163,9963521,3359,"*",47
"chr1",9967099,9967932,834,"*",5
"chr1",9968624,9968931,308,"*",4
"chr1",9976587,9976746,160,"*",0
"chr1",9978816,9978947,132,"*",0
"chr1",9982387,9982439,53,"*",2
"chr1",9985592,9985709,118,"*",0
"chr1",9991764,9992366,603,"*",7
"chr1",9995063,9995277,215,"*",2
"chr1",9999401,9999539,139,"*",1
"chr1",9999971,10000137,167,"*",2
"chr1",10003235,10003453,219,"*",2
"chr1",10009072,10009136,65,"*",1
"chr1",10009814,10009917,104,"*",3
"chr1",10024602,10025063,462,"*",4
"chr1",10027103,10027251,149,"*",0
"chr1",10030599,10030710,112,"*",0
"chr1",10030920,10032424,1505,"*",31
"chr1",10033040,10033323,284,"*",5
"chr1",10034008,10034136,129,"*",1
"chr1",10034929,10035163,235,"*",1
"chr1",10037670,10038127,458,"*",8
"chr1",10038218,10038344,127,"*",0
"chr1",10039773,10039887,115,"*",6
"chr1",10040155,10040283,129,"*",2
"chr1",10045076,10045184,109,"*",0
"chr1",10047424,10047526,103,"*",1
"chr1",10056924,10056947,24,"*",0
"chr1",10058720,10060459,1740,"*",17
"chr1",10064333,10064413,81,"*",0
"chr1",10065323,10065421,99,"*",0
"chr1",10066426,10068333,1908,"*",24
"chr1",10074860,10074946,87,"*",0
"chr1",10077172,10077242,71,"*",0
"chr1",10082253,10082346,94,"*",1
"chr1",10083501,10084073,573,"*",3
"chr1",10085747,10085952,206,"*",0
"chr1",10087747,10088184,438,"*",11
"chr1",10088882,10088960,79,"*",1
"chr1",10090188,10090317,130,"*",0
"chr1",10095866,10096013,148,"*",0
"chr1",10104212,10104364,153,"*",0
"chr1",10108369,10108481,113,"*",0
"chr1",10112393,10112542,150,"*",1
"chr1",10112876,10113022,147,"*",1
"chr1",10113603,10113707,105,"*",0
"chr1",10115425,10116084,660,"*",12
"chr1",10116614,10116731,118,"*",0
"chr1",10125984,10126479,496,"*",10
"chr1",10127423,10127563,141,"*",0
"chr1",10129959,10130032,74,"*",0
"chr1",10132454,10132517,64,"*",0
"chr1",10133164,10133461,298,"*",1
"chr1",10133970,10134230,261,"*",3
"chr1",10135934,10136768,835,"*",15
"chr1",10137571,10138996,1426,"*",7
"chr1",10140467,10140584,118,"*",1
"chr1",10141559,10141697,139,"*",0
"chr1",10142576,10142744,169,"*",2
"chr1",10144718,10144857,140,"*",0
"chr1",10147403,10147535,133,"*",0
"chr1",10151801,10151873,73,"*",1
"chr1",10153386,10153524,139,"*",2
"chr1",10153607,10153742,136,"*",0
"chr1",10154281,10154530,250,"*",2
"chr1",10156399,10159740,3342,"*",43
"chr1",10159877,10160060,184,"*",0
"chr1",10160701,10160870,170,"*",0
"chr1",10160963,10161306,344,"*",3
"chr1",10163697,10163787,91,"*",0
"chr1",10166539,10166778,240,"*",1
"chr1",10172834,10172984,151,"*",0
"chr1",10173075,10173352,278,"*",1
"chr1",10174067,10174195,129,"*",1
"chr1",10179826,10179977,152,"*",2
"chr1",10180870,10181041,172,"*",0
"chr1",10183663,10183747,85,"*",0
"chr1",10183976,10184181,206,"*",0
"chr1",10184386,10184497,112,"*",1
"chr1",10188757,10188958,202,"*",0
"chr1",10189227,10189335,109,"*",0
"chr1",10189439,10189678,240,"*",2
"chr1",10194257,10194491,235,"*",1
"chr1",10198843,10198976,134,"*",1
"chr1",10199729,10199904,176,"*",0
"chr1",10204808,10204909,102,"*",0
"chr1",10209425,10209701,277,"*",0
"chr1",10213044,10213223,180,"*",6
"chr1",10214125,10214271,147,"*",0
"chr1",10215837,10215993,157,"*",0
"chr1",10216529,10216559,31,"*",0
"chr1",10232371,10232670,300,"*",4
"chr1",10324720,10325311,592,"*",5
"chr1",10329473,10329557,85,"*",0
"chr1",10337267,10337469,203,"*",4
"chr1",10408269,10408359,91,"*",2
"chr1",10409257,10409367,111,"*",0
"chr1",10472475,10477129,4655,"*",56
"chr1",10477727,10477823,97,"*",1
"chr1",10481014,10481115,102,"*",1
"chr1",10483949,10484063,115,"*",0
"chr1",10488825,10488949,125,"*",0
"chr1",10554098,10555660,1563,"*",20
"chr1",10595366,10595695,330,"*",4
"chr1",10695123,10695614,492,"*",15
"chr1",10719612,10719945,334,"*",1
"chr1",10921670,10921760,91,"*",1
"chr1",10993465,10993909,445,"*",9
"chr1",11061326,11061397,72,"*",1
"chr1",11065794,11065916,123,"*",0
"chr1",11068011,11068115,105,"*",0
"chr1",11080023,11080124,102,"*",0
"chr1",11089717,11089878,162,"*",2
"chr1",11098463,11098596,134,"*",2
"chr1",11101064,11101167,104,"*",1
"chr1",11107603,11107752,150,"*",3
"chr1",11110282,11110426,145,"*",0
"chr1",11112743,11112843,101,"*",0
"chr1",11123121,11123224,104,"*",0
"chr1",11123814,11123863,50,"*",1
"chr1",11132338,11132413,76,"*",1
"chr1",11134111,11134238,128,"*",1
"chr1",11136765,11136837,73,"*",0
"chr1",11139956,11140098,143,"*",0
"chr1",11140236,11140328,93,"*",0
"chr1",11142649,11142797,149,"*",1
"chr1",11149810,11149895,86,"*",2
"chr1",11153543,11153679,137,"*",3
"chr1",11156241,11156358,118,"*",1
"chr1",11160096,11160280,185,"*",0
"chr1",11162240,11162401,162,"*",0
"chr1",11169853,11170075,223,"*",1
"chr1",11170584,11170791,208,"*",3
"chr1",11181855,11182034,180,"*",1
"chr1",11184446,11184540,95,"*",1
"chr1",11185130,11185212,83,"*",0
"chr1",11185887,11185977,91,"*",2
"chr1",11186637,11186765,129,"*",3
"chr1",11193513,11193554,42,"*",2
"chr1",11199835,11200052,218,"*",1
"chr1",11204066,11204168,103,"*",0
"chr1",11208512,11208655,144,"*",2
"chr1",11231682,11231796,115,"*",0
"chr1",11265679,11265745,67,"*",1
"chr1",11265969,11266159,191,"*",1
"chr1",11285057,11285159,103,"*",1
"chr1",11289253,11289320,68,"*",0
"chr1",11297708,11303682,5975,"*",132
"chr1",11414105,11414637,533,"*",7
"chr1",11511918,11512065,148,"*",0
"chr1",11518578,11518709,132,"*",1
"chr1",11537015,11537707,693,"*",7
"chr1",11545154,11545282,129,"*",0
"chr1",11562963,11562991,29,"*",0
"chr1",11588374,11588546,173,"*",2
"chr1",11596151,11601821,5671,"*",121
"chr1",11747965,11748100,136,"*",1
"chr1",11798481,11798566,86,"*",1
"chr1",11829815,11829891,77,"*",0
"chr1",11933544,11933740,197,"*",4
"chr1",11950963,11951056,94,"*",0
"chr1",11972046,11972102,57,"*",0
"chr1",11974923,11975901,979,"*",7
"chr1",12374936,12375042,107,"*",0
"chr1",12425986,12426106,121,"*",3
"chr1",12565577,12566383,807,"*",16
"chr1",12655867,12656553,687,"*",9
"chr1",12667563,12669092,1530,"*",14
"chr1",12671316,12671355,40,"*",2
"chr1",12671461,12673090,1630,"*",19
"chr1",12692430,12692684,255,"*",0
"chr1",12718545,12718783,239,"*",0
"chr1",12728594,12728688,95,"*",0
"chr1",12786079,12786151,73,"*",0
"chr1",12786468,12786698,231,"*",1
"chr1",12796766,12797005,240,"*",0
"chr1",12805180,12805331,152,"*",0
"chr1",12807854,12808023,170,"*",1
"chr1",12817338,12817488,151,"*",1
"chr1",12818378,12818553,176,"*",1
"chr1",12820401,12820529,129,"*",2
"chr1",12820795,12820851,57,"*",0
"chr1",12821970,12822099,130,"*",1
"chr1",12836113,12836329,217,"*",2
"chr1",12838359,12838611,253,"*",2
"chr1",12839829,12839925,97,"*",0
"chr1",12840403,12840497,95,"*",0
"chr1",12841443,12841508,66,"*",0
"chr1",12842649,12842824,176,"*",1
"chr1",12848095,12848237,143,"*",1
"chr1",12848331,12848454,124,"*",0
"chr1",12850760,12850793,34,"*",0
"chr1",12858812,12860371,1560,"*",19
"chr1",12866549,12872328,5780,"*",57
"chr1",12876310,12876374,65,"*",0
"chr1",12878595,12881452,2858,"*",44
"chr1",12894427,12894625,199,"*",1
"chr1",12921038,12921202,165,"*",0
"chr1",12924871,12925043,173,"*",3
"chr1",12938989,12939200,212,"*",1
"chr1",12943980,12944112,133,"*",0
"chr1",12989580,12991177,1598,"*",11
"chr1",13062019,13062348,330,"*",9
"chr1",13113457,13114487,1031,"*",12
"chr1",13115780,13115881,102,"*",1
"chr1",13118763,13118965,203,"*",1
"chr1",13122361,13122631,271,"*",5
"chr1",13124363,13124520,158,"*",1
"chr1",13124619,13124672,54,"*",0
"chr1",13125166,13125856,691,"*",12
"chr1",13127110,13127163,54,"*",1
"chr1",13139105,13142772,3668,"*",26
"chr1",13146599,13146964,366,"*",3
"chr1",13148317,13148515,199,"*",0
"chr1",13148931,13149108,178,"*",0
"chr1",13150690,13151018,329,"*",12
"chr1",13152379,13152456,78,"*",2
"chr1",13152797,13153075,279,"*",1
"chr1",13156370,13156535,166,"*",0
"chr1",13160161,13160290,130,"*",0
"chr1",13162073,13162288,216,"*",0
"chr1",13164501,13165102,602,"*",4
"chr1",13165925,13167106,1182,"*",26
"chr1",13174079,13175348,1270,"*",3
"chr1",13177074,13177221,148,"*",0
"chr1",13180481,13180624,144,"*",0
"chr1",13181216,13181317,102,"*",0
"chr1",13182284,13184363,2080,"*",36
"chr1",13184606,13186910,2305,"*",33
"chr1",13190087,13190190,104,"*",0
"chr1",13221307,13221479,173,"*",0
"chr1",13224609,13224713,105,"*",0
"chr1",13262198,13262279,82,"*",0
"chr1",13285969,13286025,57,"*",1
"chr1",13299663,13299722,60,"*",0
"chr1",13334498,13334609,112,"*",1
"chr1",13372183,13372439,257,"*",2
"chr1",13373938,13374083,146,"*",1
"chr1",13564702,13566396,1695,"*",15
"chr1",13569471,13569631,161,"*",1
"chr1",13569939,13570082,144,"*",0
"chr1",13571803,13571907,105,"*",1
"chr1",13572004,13572074,71,"*",0
"chr1",13576368,13576452,85,"*",0
"chr1",13578100,13578158,59,"*",0
"chr1",13579450,13579566,117,"*",0
"chr1",13579690,13579811,122,"*",0
"chr1",13581023,13581086,64,"*",0
"chr1",13589600,13589864,265,"*",1
"chr1",13624845,13626904,2060,"*",16
"chr1",13627356,13627437,82,"*",1
"chr1",13629995,13630213,219,"*",0
"chr1",13638231,13638411,181,"*",1
"chr1",13647385,13647511,127,"*",2
"chr1",13650721,13650884,164,"*",3
"chr1",13660329,13660546,218,"*",1
"chr1",13668771,13668867,97,"*",3
"chr1",13672126,13672764,639,"*",6
"chr1",13684056,13684276,221,"*",2
"chr1",13700755,13701723,969,"*",11
"chr1",13774334,13774464,131,"*",1
"chr1",13785883,13786879,997,"*",24
"chr1",13932378,13932685,308,"*",5
"chr1",14168954,14170996,2043,"*",13
"chr1",14179480,14179580,101,"*",0
"chr1",14182578,14182677,100,"*",0
"chr1",14183157,14183278,122,"*",0
"chr1",14183381,14183495,115,"*",0
"chr1",14184349,14184509,161,"*",1
"chr1",14184626,14184684,59,"*",1
"chr1",14208895,14208984,90,"*",1
"chr1",14229493,14229576,84,"*",0
"chr1",14231413,14231552,140,"*",5
"chr1",14252428,14252614,187,"*",1
"chr1",14253020,14253102,83,"*",0
"chr1",14270705,14270842,138,"*",0
"chr1",14274065,14274207,143,"*",0
"chr1",14274534,14274603,70,"*",0
"chr1",14283121,14283201,81,"*",0
"chr1",14283313,14283331,19,"*",0
"chr1",14302770,14302897,128,"*",0
"chr1",14304425,14304474,50,"*",0
"chr1",14309646,14310200,555,"*",0
"chr1",14753346,14754325,980,"*",14
"chr1",14755230,14758373,3144,"*",43
"chr1",14839869,14840156,288,"*",3
"chr1",14865072,14865965,894,"*",3
"chr1",14872648,14873728,1081,"*",15
"chr1",14874364,14874461,98,"*",0
"chr1",14875849,14875959,111,"*",0
"chr1",14880199,14880267,69,"*",0
"chr1",14881597,14881779,183,"*",2
"chr1",14882112,14882241,130,"*",2
"chr1",14884110,14884279,170,"*",3
"chr1",14885750,14885839,90,"*",0
"chr1",14886887,14887052,166,"*",0
"chr1",14887595,14887665,71,"*",1
"chr1",14889394,14889492,99,"*",1
"chr1",14890395,14890454,60,"*",0
"chr1",14891305,14891398,94,"*",2
"chr1",14893183,14893349,167,"*",0
"chr1",14896492,14896606,115,"*",1
"chr1",14898009,14898173,165,"*",1
"chr1",14898256,14898425,170,"*",2
"chr1",14899347,14899447,101,"*",0
"chr1",14900065,14900164,100,"*",0
"chr1",14901862,14901910,49,"*",0
"chr1",14903146,14903282,137,"*",2
"chr1",14904147,14904292,146,"*",0
"chr1",14904453,14904561,109,"*",1
"chr1",14905923,14906030,108,"*",2
"chr1",14910730,14910905,176,"*",2
"chr1",14912360,14912519,160,"*",0
"chr1",14918725,14918862,138,"*",0
"chr1",15019040,15019159,120,"*",0
"chr1",15268799,15269797,999,"*",5
"chr1",15287259,15287484,226,"*",1
"chr1",15312363,15313030,668,"*",5
"chr1",15685935,15686046,112,"*",2
"chr1",15709485,15716367,6883,"*",58
"chr1",15757832,15757963,132,"*",2
"chr1",15805658,15805957,300,"*",4
"chr1",15807641,15807736,96,"*",0
"chr1",15813041,15813162,122,"*",0
"chr1",15815886,15815972,87,"*",1
"chr1",15818934,15819083,150,"*",4
"chr1",15819651,15819763,113,"*",0
"chr1",15831507,15831566,60,"*",0
"chr1",15833401,15833489,89,"*",1
"chr1",15838182,15838288,107,"*",0
"chr1",15842921,15843428,508,"*",7
"chr1",15853862,15855862,2001,"*",31
"chr1",15858889,15859065,177,"*",0
"chr1",15860261,15860351,91,"*",0
"chr1",15879530,15879832,303,"*",4
"chr1",15883646,15883840,195,"*",0
"chr1",15892439,15892722,284,"*",2
"chr1",16065979,16066274,296,"*",2
"chr1",16068800,16068855,56,"*",1
"chr1",16078568,16078700,133,"*",2
"chr1",16080830,16081212,383,"*",4
"chr1",16081668,16082510,843,"*",7
"chr1",16092974,16093325,352,"*",2
"chr1",16101295,16102599,1305,"*",16
"chr1",16102692,16103684,993,"*",12
"chr1",16104137,16104227,91,"*",0
"chr1",16104365,16104662,298,"*",8
"chr1",16105774,16106306,533,"*",0
"chr1",16107795,16108030,236,"*",0
"chr1",16128165,16128263,99,"*",0
"chr1",16129196,16129341,146,"*",0
"chr1",16130502,16131206,705,"*",13
"chr1",16131294,16133734,2441,"*",19
"chr1",16228674,16229866,1193,"*",6
"chr1",16231003,16231091,89,"*",0
"chr1",16253592,16253641,50,"*",0
"chr1",16253831,16254045,215,"*",5
"chr1",16258712,16258861,150,"*",2
"chr1",16263165,16263201,37,"*",1
"chr1",16267371,16267921,551,"*",6
"chr1",16343407,16346011,2605,"*",14
"chr1",16366079,16366139,61,"*",0
"chr1",16369755,16369886,132,"*",1
"chr1",16374674,16374811,138,"*",1
"chr1",16375343,16375395,53,"*",1
"chr1",16389821,16390033,213,"*",0
"chr1",16392517,16392624,108,"*",1
"chr1",16394051,16394210,160,"*",0
"chr1",16427546,16427657,112,"*",1
"chr1",16440323,16440458,136,"*",0
"chr1",16459715,16460419,705,"*",8
"chr1",16463035,16463194,160,"*",1
"chr1",16486020,16486150,131,"*",0
"chr1",16487615,16487969,355,"*",4
"chr1",16509342,16509408,67,"*",0
"chr1",16511930,16512011,82,"*",0
"chr1",16519173,16519307,135,"*",1
"chr1",16520001,16520112,112,"*",0
"chr1",16540790,16541789,1000,"*",13
"chr1",16543949,16544032,84,"*",2
"chr1",16564338,16564468,131,"*",1
"chr1",16569085,16569165,81,"*",2
"chr1",16569406,16571282,1877,"*",8
"chr1",16581927,16582002,76,"*",0
"chr1",16584158,16585431,1274,"*",11
"chr1",16586086,16586137,52,"*",1
"chr1",16597951,16598053,103,"*",0
"chr1",16601979,16602353,375,"*",5
"chr1",16619237,16619489,253,"*",0
"chr1",16642766,16643478,713,"*",3
"chr1",16645686,16645829,144,"*",1
"chr1",16647955,16648007,53,"*",1
"chr1",16656822,16656865,44,"*",0
"chr1",16657552,16659778,2227,"*",34
"chr1",16660021,16660228,208,"*",1
"chr1",16660555,16660649,95,"*",1
"chr1",16662021,16662278,258,"*",6
"chr1",16665207,16665505,299,"*",5
"chr1",16665708,16665811,104,"*",1
"chr1",16667665,16667773,109,"*",4
"chr1",16676968,16678275,1308,"*",10
"chr1",16688456,16688619,164,"*",2
"chr1",16691684,16691773,90,"*",1
"chr1",16700795,16700923,129,"*",0
"chr1",16706173,16706225,53,"*",1
"chr1",16709439,16709605,167,"*",1
"chr1",16768270,16770138,1869,"*",27
"chr1",16994938,16997559,2622,"*",32
"chr1",17003891,17004534,644,"*",3
"chr1",17016039,17016157,119,"*",0
"chr1",17091298,17092057,760,"*",0
"chr1",17097226,17097889,664,"*",2
